TITLE, RATING, REASON, DISTRIBUTOR, ALT TITLES, OTHER, SEXUALITY, NUDITY, VIOLENCE, LANGUAGE, SUBSTANCE
Below Zero (2012), R, Rated R for language and some bloody violence., "Screen Media Ventures  LLC", NA, NA, 0, 0, 1, 1, 0
Bettie Page Reveals All (2012), R, Rated R for sexual content and graphic nudity throughout., Music Box Films, NA, NA, 1, 1, 0, 0, 0
"Big Bad  The (2012)", R, "Rated R for bloody violence  language and drug use.", Phase 4 Films Inc., NA, NA, 0, 0, 1, 1, 1
Bigfoot County (2012), R, Rated R for pervasive language and a brief sexual assault., Grindstone Entertainment Group, Siskiyou County, NA, 1, 0, 0, 1, 0
Bikini Spring Break Special Edition (2012), R, Rated R for sexual content/nudity and language throughout., "Asylum Home Entertainment  The", NA, NA, 1, 1, 0, 1, 0
Bindlestiffs (2012), R, "Rated R for pervasive crude and sexual content  language  some drug use and brief violence - all involving teens.", Phase 4 Films Inc., NA, NA, 1, 0, 1, 1, 1
Black Cobra (2012), R, "Rated R for language  violence and brief drug use.", Grindstone Entertainment Group, When The Cobra Strikes, NA, 0, 0, 1, 1, 1
Black Limousine (2012), R, "Rated R for language  brief nudity and violent images.", Anchor Bay Entertainment, Land Of The Astronauts, NA, 0, 1, 1, 1, 0
Black Rock (2012), R, "Rated R for some strong violence  pervasive language  sexual references and brief graphic nudity.", LD Entertainment, NA, NA, 1, 1, 1, 1, 0
Black's Game (2012), R, "Rated R for strong sexuality  some graphic nudity  brutal violence including a sexual assault  disturbing behavior  pervasive drug content and language.", Grindstone Entertainment Group, Svartur A Leik, NA, 1, 1, 1, 1, 1
Blood Money (2012), R, "Rated R for bloody violence  language  drug content and some sexuality/nudity.", XLrator Media, NA, NA, 1, 1, 1, 1, 1
Border Run (2012), R, "Rated R for violence including a rape  some sexual and drug content  and language.", Anchor Bay Films, "Mule  The", NA, 1, 0, 1, 1, 1
Bounty Hunters (2012), R, "Rated R for language  violence and some sexuality/nudity.", MPI Media Group, Bail Enforcers, NA, 1, 1, 1, 1, 0
Brake (2012), R, "Rated R for mental torture/terror  and language throughout.", IFC Films, NA, NA, 0, 0, 0, 1, 0
"Brass Teapot  The (2012)", R, "Rated R for violence  some sexual content  language and drug use.", Magnolia Pictures, NA, NA, 1, 0, 1, 1, 1
Brawler (2012), R, "Rated R for strong brutal violence  language  sexuality and some drug use.", XLrator Media, NA, NA, 1, 0, 1, 1, 1
Breathless (2012), R, Rated R for some bloody violence., Anchor Bay Films, Little Pieces, NA, 0, 0, 1, 0, 0
Bro' (2012), R, "Rated R for drug use and language throughout  sexuality/nudity and some violence.", Bro LLC, NA, NA, 1, 1, 1, 1, 1
Broken City (2012), R, "Rated R for pervasive language  some sexual content and violence.", Twentieth Century Fox Film Corp., NA, NA, 1, 0, 1, 1, 0
Budz House (2012), R, "Rated R for language and drug use throughout  and for some crude and sexual content.", Phase 4 Films Inc., NA, NA, 1, 0, 0, 1, 1
Bullet To The Head (2012), R, "Rated R for strong violence  bloody images  language  some nudity and brief drug use.", Warner Bros. Pictures, NA, Edited for re-rating, 0, 1, 1, 1, 1
Burke & Hare (2012), R, "Rated R for some sexual content  disturbing images and language.", IFC Films, NA, NA, 1, 0, 1, 1, 0
C'MON MAN (2012), R, "Rated R for pervasive language  drug use and some sexual content.", Grindstone Entertainment Group, "Last Laugh  The", NA, 1, 0, 0, 1, 1
"Campaign  The (2012)", R, "Rated R for crude sexual content  language and brief nudity.", Warner Bros. Pictures, Dogfight; Rivals, NA, 1, 1, 0, 1, 0
"Campaign: Extended Cut  The (2012)", R, "Rated R for crude sexual content  language and brief nudity.", Warner Home Video, Dogfight; Rivals, Edited Version, 1, 1, 0, 1, 0
Cargo (2012), R, "Rated R for language  some violence and brief nudity.", Phase 4 Films Inc., NA, NA, 0, 1, 1, 1, 0
Cartel War (2012), R, "Rated R for violence  language  some sexual content/nudity and drug use.", "Screen Media Ventures  LLC", NA, NA, 1, 1, 1, 1, 1
Caught Inside (2012), R, "Rated R for violence  sexuality and language.", "Screen Media Ventures  LLC", NA, NA, 1, 0, 1, 1, 0
Caught On Tape (2012), R, "Rated R for language  some violence and sexual content/nudity.", "Barnholtz Entertainment  Inc.", NA, NA, 1, 1, 1, 1, 0
Celeste And Jesse Forever (2012), R, "Rated R for language  sexual content and drug use.", Sony Pictures Classics, NA, NA, 1, 0, 0, 1, 1
Chained (2012), R, "Rated R for disturbing and sadistic violent content including bloody killings and rape  and for language and sexuality.", Anchor Bay Films, Rabbit, Edited For Rerate After Appeal, 1, 0, 1, 1, 0
Chalet Girl (2012), R, Rated R for some language., IFC Films, NA, NA, 0, 0, 0, 1, 0
Changing The Game (2012), R, "Rated R for language throughout  some drug content  sexuality/nudity and violence.", "Barnholtz Entertainment  Inc.", NA, NA, 1, 1, 1, 1, 1
Chernobyl Diaries (2012), R, "Rated R for violence  some bloody images and pervasive language.", Warner Bros. Pictures, NA, NA, 0, 0, 1, 1, 0
Citadel (2012), R, "Rated R for disturbing violent content  and language.", Cinedigm, NA, NA, 0, 0, 1, 1, 0
Cloud Atlas (2012), R, "Rated R for violence  language  sexuality/nudity and some drug use.", Warner Bros. Pictures, NA, NA, 1, 1, 1, 1, 1
"Coalition  The (2012)", R, Rated R for language and some sexual content., Magnolia Home Entertainment, NA, NA, 1, 0, 0, 1, 0
"Collection  The (2012)", R, "Rated R for strong bloody violence  grisly images  language and brief nudity.", LD Distribution, NA, NA, 0, 1, 1, 1, 0
"Colombian Connection  The (2012)", R, "Rated R for violence  language  drug use and some sexuality/nudity.", "Inception Media Group  LLC", Through The Eye, NA, 1, 1, 1, 1, 1
Company Of Heroes (2012), R, "Rated R for bloody war violence throughout  some language and brief nudity.", Sony Pictures Worldwide Acquisitions Inc., NA, NA, 0, 1, 1, 1, 0
"Company You Keep  The (2012)", R, Rated R for language., Sony Pictures Classics, NA, NA, 0, 0, 0, 1, 0
Compliance (2012), R, Rated R for language and sexual content/nudity., Magnolia Pictures, NA, NA, 1, 1, 0, 1, 0
Cosmopolis (2012), R, "Rated R for some strong sexual content including graphic nudity  violence and language.", Entertainment One Film USA LLC, NA, NA, 1, 1, 1, 1, 0
Counterpunch (2012), R, "Rated R for language  violence  sexual content and drug use.", Grindstone Entertainment Group, NA, NA, 1, 0, 1, 1, 1
Crew 2 Crew (2012), R, "Rated R for language  some sexuality/nudity  violence and brief drug use.", Grindstone Entertainment Group, 5 Hours South, NA, 1, 1, 1, 1, 1
"Crimson Cult  The (2012)", R, Rated R for brief sexuality/nudity., MGM Home Entertainment LLC, "Crimson Altar  The; Curse Of The Crimson Alter; Curse Of The Crimson Cult", Re-Rating, 1, 1, 0, 0, 0
Crowsnest (2012), R, "Rated R for some grisly violence  pervasive language and brief nudity.", IFC Films, NA, NA, 0, 1, 1, 1, 0
Dark Feed (2012), R, Rated R for bloody violence and language., Grindstone Entertainment Group, NA, NA, 0, 0, 1, 1, 0
"Dark Truth  A (2012)", R, Rated R for violence and disturbing images., Sony Pictures Worldwide Acquisitions Inc., "Truth  The", NA, 0, 0, 1, 0, 0
"Darkening  The (2012)", R, Rated R for violence., Young Films LLC, NA, NA, 0, 0, 1, 0, 0
Darnell Dawkins: Mouth Guitar Legend (2012), R, "Rated R for language  drug use  some sexual content  graphic nudity and brief violence.", "Baby Minotaur  LLC - [Production Co.]", NA, NA, 1, 1, 1, 1, 1
Dawn Rider (2012), R, Rated R for violence and language., Nasser Group Inc., "Dawn Rider  The", NA, 0, 0, 1, 1, 0
Day Of The Falcon (2012), R, Rated R for violence., "Image Entertainment  Inc.", Black Gold, NA, 0, 0, 1, 0, 0
"Day  The (2012)", R, "Rated R for strong bloody violence  pervasive language and some nudity.", Anchor Bay Films, NA, NA, 0, 1, 1, 1, 0
Dead Man Down (2012), R, "Rated R for violence  language throughout and a scene of sexuality.", FilmDistrict, NA, NA, 1, 0, 1, 1, 0
"Dead Undead  The (2012)", R, Rated R for violence and language., Phase 4 Films Inc., Nightwalkers, NA, 0, 0, 1, 1, 0
DeadHeads (2012), R, "Rated R for bloody violence and gore  language  some sexual content and brief drug use.", "Freestyle Digital Media  LLC", NA, NA, 1, 0, 1, 1, 1
Death Race 3: Inferno (2012), R, Rated R for violence and language throughout and sexual content., Universal Studios Home Entertainment LLC, Death Race 3; Death Race: Inferno, NA, 1, 0, 1, 1, 0
Death Rides A Horse (2012), R, Rated R for some western violence., MGM Home Entertainment LLC, Death Rides Again, Re-Rating, 0, 0, 1, 0, 0
Death Rides A Horse (2012), R, Rated R for some western violence., MGM Home Entertainment LLC, Death Rides Again, Re-Rating, 0, 0, 1, 0, 0
"Deep Blue Sea  The (2012)", R, Rated R for a scene of sexuality and nudity., Music Box Films, NA, NA, 1, 1, 0, 0, 0
"Devil's In The Details  The (2012)", R, "Rated R for strong violence  torture and language throughout.", "Image Entertainment  Inc.", NA, NA, 0, 0, 1, 1, 0
"Dictator  The (2012)", R, "Rated R for strong crude and sexual content  brief male nudity  language and some violent images.", Paramount Pictures Corporation, Finchley Dreams, NA, 1, 1, 1, 1, 0
"Divide  The (2012)", R, "Rated R for disturbing strong violence and sexuality  and for pervasive language.", Anchor Bay Films, NA, NA, 1, 0, 1, 1, 0
Django Unchained (2012), R, "Rated R for strong graphic violence throughout  a vicious fight  language and some nudity.", "Weinstein Company LLC  The", NA, NA, 0, 1, 1, 1, 0
"Do Deca Pentathalon  The (2012)", R, Rated R for language., Twentieth Century Fox Film Corp., NA, NA, 0, 0, 0, 1, 0
Down The Shore (2012), R, Rated R for language and some drug use., Anchor Bay Films, "Last Kiddie Ride  The", NA, 0, 0, 0, 1, 1
Dragon (2012), R, Rated R for violence., Radius-TWC, Swordsmen; Wu Xia; Wuxia, NA, 0, 0, 1, 0, 0
Dredd (2012), R, "Rated R for strong bloody violence  language  drug use and some sexual content.", Lionsgate, Peach Trees, NA, 1, 0, 1, 1, 1
El Gringo (2012), R, "Rated R for bloody violence  language and some sexuality.", After Dark Films, NA, NA, 1, 0, 1, 1, 0
Electrick Children (2012), R, Rated R for language including brief sexual references., Phase 4 Films Inc., NA, NA, 1, 0, 0, 1, 0
Elfie Hopkins: Cannibal Hunter (2012), R, "Rated R for violence  language and some drug use.", "Screen Media Ventures  LLC", Elfie Hopkins, NA, 0, 0, 1, 1, 1
End Of Watch (2012), R, "Rated R for strong violence  some disturbing images  pervasive language including sexual references  and some drug use.", "Open Road Films  LLC", NA, NA, 1, 0, 1, 1, 1
Enter Nowhere (2012), R, Rated R for language and brief violence., Grindstone Entertainment Group, NA, NA, 0, 0, 1, 1, 0
Erased (2012), R, Rated R for violence., Radius-TWC, "Expatriate  The", NA, 0, 0, 1, 0, 0
Everybody Has A Plan (2012), R, "Rated R for some brutal violence  language and sexuality.", Twentieth Century Fox Film Corp., Todos Tenemos Un Plan, NA, 1, 0, 1, 1, 0
Evocateur (2012), R, Rated R for language and some nudity., Magnolia Pictures, Evocateur: The Morton Downey Jr. Movie, NA, 0, 1, 0, 1, 0
"Expendables 2  The (2012)", R, Rated R for strong bloody violence throughout., Lionsgate, NA, NA, 0, 0, 1, 0, 0
Extinction (2012), R, Rated R for violence and language., Phase 4 Films Inc., Extinction: The G.M.O. Chronicles, NA, 0, 0, 1, 1, 0
"Factory  The (2012)", R, "Rated R for strong violence including disturbing images  language throughout and some sexual material.", Warner Bros. Pictures, NA, NA, 1, 0, 1, 1, 0
"Fantastic Fear Of Everything  A (2012)", R, Rated R for language., Cinedigm Entertainment Group, Paranoia In The Laundrette, NA, 0, 0, 0, 1, 0
"Farewell  My Queen (2012)", R, Rated R for brief graphic nudity and language., Cohen Media Group, Farewell My Queen; Les Adieux a la Reine, NA, 0, 1, 0, 1, 0
Fat Kid Rules The World (2012), R, "Rated R for sexual and drug content  and brief violent images.", Outsider Pictures LLC, NA, NA, 1, 0, 1, 0, 1
FDR: American Badass (2012), R, "Rated R for crude and sexual content  pervasive language  some violence and drug use.", "Screen Media Ventures  LLC", NA, NA, 1, 0, 1, 1, 1
Filly Brown (2012), R, "Rated R for language  some drug use and violence.", Pantelion Films, NA, NA, 0, 0, 1, 1, 1
Fire With Fire (2012), R, "Rated R for strong violence  language and brief sexuality.", Lionsgate, NA, NA, 1, 0, 1, 1, 0
"Five-Year Engagement  The (2012)", R, "Rated R for sexual content  and language throughout.", Universal Studios, Five-Year Engagement; Untitled Jason Segel & Nicholas Stoller Project, NA, 1, 0, 0, 1, 0
Flight (2012), R, "Rated R for drug and alcohol abuse  language  sexuality/nudity and an intense action sequence.", Paramount Pictures Corporation, NA, NA, 1, 1, 0, 1, 1
Flying Swords Of Dragon Gate (2012), R, Rated R for some violence., "Indomina Media  Inc.", NA, NA, 0, 0, 1, 0, 0
"For A Good Time  Call... (2012)", R, "Rated R for strong sexual content throughout  language and some drug use.", Focus Features LLC, NA, NA, 1, 0, 0, 1, 1
For Greater Glory (2012), R, Rated R for war violence and some disturbing images., ARC Entertainment, Cristiada, NA, 0, 0, 1, 0, 0
For The Love Of Money (2012), R, "Rated R for violence  pervasive language  drug content and brief nudity.", Grindstone Entertainment Group, NA, NA, 0, 1, 1, 1, 1
Freaky Deaky (2012), R, "Rated R for language  some sexual content and drug use.", Entertainment One U.S. LP, NA, NA, 1, 0, 0, 1, 1
Freelancers (2012), R, "Rated R for strong sexual content  nudity  drug use  violence and pervasive language.", Lionsgate, NA, NA, 1, 1, 1, 1, 1
Freeloaders (2012), R, "Rated R for crude sexual content  nudity  language and drug use.", "Collective  The", NA, NA, 1, 1, 0, 1, 1
Friends With Kids (2012), R, Rated R for sexual content and language., Roadside Attractions LLC, NA, NA, 1, 0, 0, 1, 0
Funeral Kings (2012), R, "Rated R for language throughout  sexual references  some drugs  drinking and smoking - all involving kids.", "Freestyle Releasing  LLC", NA, NA, 1, 0, 0, 1, 1
Fury (2012), R, Rated R for language and some violent images., Enter Circle Pictures, NA, NA, 0, 0, 1, 1, 0
"Gangster Squad  The (2012)", R, Rated R for strong violence and language., Warner Bros. Pictures, NA, Edited for re-rating, 0, 0, 1, 1, 0
Get A Job (2012), R, "Rated R for crude and sexual content  nudity  drug use and language.", CBS Films Inc., NA, NA, 1, 1, 0, 1, 1
"Ghostmaker  The (2012)", R, "Rated R for drug content  language  some sexuality/nudity and violence.", Grindstone Entertainment Group, Box Of Shadows, NA, 1, 1, 1, 1, 1
"Girl From Nagasaki  The (2012)", R, "Rated R for graphic nudity  sexuality and some violence including a rape.", M4 Films AG - [Production Co.], "Little Girl From Nagasaki  The", NA, 1, 1, 1, 0, 0
"Girl From The Naked Eye  The (2012)", R, "Rated R for violence  sexual content and pervasive language.", Naedomi Media, NA, NA, 1, 0, 1, 1, 0
"Girl Walks Into A Bar  A (2012)", R, Rated R for sex references and brief nudity., Lionsgate, Girl Walks Into A Bar, NA, 1, 1, 0, 0, 0
Girls Against Boys (2012), R, "Rated R for violence  some sexual content/nudity and language.", Anchor Bay Films, Grrls Against Boys, NA, 1, 1, 1, 1, 0
Girls Gone Dead (2012), R, "Rated R for bloody horror violence  sexuality/nudity and language.", Entertainment One Film USA LLC, NA, NA, 1, 1, 1, 1, 0
"Glimpse Inside The Mind Of Charles Swan III  A (2012)", R, Rated R for language and some nudity., A24 Films, NA, NA, 0, 1, 0, 1, 0
Goats (2012), R, "Rated R for drug content including teen drug and alcohol use  language  sexuality and nudity.", "Image Entertainment  Inc.", NA, NA, 1, 1, 0, 1, 1
God Bless America (2012), R, Rated R for strong violence and language including some sexual sequences., Magnolia Pictures, NA, NA, 1, 0, 1, 1, 0
God Don't Make The Laws (2012), R, Rated R for language., Three Dog Films - [Production Co.], Frozen In Time, NA, 0, 0, 0, 1, 0
"Grand Theft  The (2012)", R, Rated R for language including some sexual references., "Screen Media Ventures  LLC", NA, NA, 1, 0, 0, 1, 0
Grassroots (2012), R, Rated R for pervasive language and brief drug use., Samuel Goldwyn Films (old address), NA, NA, 0, 0, 0, 1, 1
"Great Fight  The (2012)", R, Rated R for some language., "Screen Media Ventures  LLC", NA, NA, 0, 0, 0, 1, 0
Greystone Park (2012), R, "Rated R for language throughout  and brief disturbing images.", ARC Entertainment, Graystone, NA, 0, 0, 1, 1, 0
"Happy Event  A (2012)", R, "Rated R for strong sexual content  nudity  language and brief drug use.", "Screen Media Ventures  LLC", Un Heureux Evenement, NA, 1, 1, 0, 1, 1
Hard Times (2012), R, Rated R for language and some sexual content/nudity., "Screen Media Ventures  LLC", Holy Water, NA, 1, 1, 0, 1, 0
Hating Breitbart (2012), R, Rated R for some language., "Rocky Mountain Pictures  Inc.", NA, NA, 0, 0, 0, 1, 0
"Haunted House  A (2012)", R, "Rated R for crude and sexual content  language and some drug use.", "Open Road Films  LLC", Smartass; Untitled Found Footage Comedy, Edited for re-rating, 1, 0, 0, 1, 1
"Haunting In Connecticut 2: Ghosts Of Georgia  The (2012)", R, Rated R for some disturbing horror content., Lionsgate, "Haunting In Georgia  The", NA, 0, 0, 1, 0, 0
Heathens And Thieves (2012), R, Rated R for western violence., Phase 4 Films Inc., NA, NA, 0, 0, 1, 0, 0
"Heavenly Vintage  A (2012)", R, Rated R for some sexuality and nudity., "Screen Media Ventures  LLC", "Vintner's Luck  The", NA, 1, 1, 0, 0, 0
Hecho En Mexico (2012), R, "Rated R for some language  sexual references and brief drug use.", Pantelion Films, Made In Mexico, NA, 1, 0, 0, 1, 1
Heleno (2012), R, "Rated R for sexuality  drug content and some language.", "Screen Media Ventures  LLC", NA, NA, 1, 0, 0, 1, 1
Hell (2012), R, Rated R for some violence., ARC Entertainment, NA, NA, 0, 0, 1, 0, 0
Hello I Must Be Going (2012), R, Rated R for language and sexual content., Oscilloscope Laboratories, NA, NA, 1, 0, 0, 1, 0
Heroes And Demons (2012), R, "Rated R for some sexual content  brief nudity and language.", Phase 4 Films Inc., NA, NA, 1, 1, 0, 1, 0
Hick (2012), R, "Rated R for disturbing content involving a teen  violence  drug use  language and drinking.", Phase 4 Films Inc., NA, NA, 0, 0, 1, 1, 1
Highway (2012), R, "Rated R for pervasive drug content and language  and some sexual material.", Grindstone Entertainment Group, Hillbilly Highway, NA, 1, 0, 0, 1, 1
Hijacked (2012), R, "Rated R for violence  language and some sexuality.", Anchor Bay Films, NA, NA, 1, 0, 1, 1, 0
Hirokin: The Last Samurai (2012), R, Rated R for violence., Grindstone Entertainment Group, NA, NA, 0, 0, 1, 0, 0
Hit And Run (2012), R, "Rated R for pervasive language including sexual references  graphic nudity  some violence and drug content.", "Open Road Films  LLC", Outrun, NA, 1, 1, 1, 1, 1
Hopelessly In June (2012), R, Rated R for language and some sexual content., Phase 4 Films Inc., NA, NA, 1, 0, 0, 1, 0
House Hunting (2012), R, Rated R for violence and language., Phase 4 Films Inc., NA, NA, 0, 0, 1, 1, 0
"Hunt  The (2012)", R, "Rated R for sexual content including a graphic image  violence and language.", Magnolia Pictures, NA, NA, 1, 0, 1, 1, 0
"Hunter  The (2012)", R, Rated R for language and brief violence., Magnolia Pictures, NA, NA, 0, 0, 1, 1, 0
Hyde Park On Hudson (2012), R, Rated R for brief sexuality., Focus Features LLC, NA, NA, 1, 0, 0, 0, 0
Hysteria (2012), R, Rated R for sexual content., Sony Pictures Classics, NA, NA, 1, 0, 0, 0, 0
